,artist_name,track_name,release_date,genre,lyrics,len,dating,violence,world/life,night/time,shake the audience,family/gospel,romantic,communication,obscene,music,movement/places,light/visual perceptions,family/spiritual,like/girls,sadness,feelings,danceability,loudness,acousticness,instrumentalness,valence,energy,topic,age
46444,molly hatchet,song for the children,1985,blues,seven seas seven sky lightning strike brave tatanka great tatanka small darkness come kill tatanka want future things past search freedom long stand sacred grind curse curse land tatanka stand soul mother nature spirit world endanger tatanka come stand deliver souls brave forever tale tear tale courage tatanka come river repeat battle fight damage war begin debt owe pay promise land save curse curse land today tatanka stand forefathers dream hop vision children eye forgive repeat lakota tolowan yelo channi tatanka oyate icic nahan taku umnipi nahan unkotipi lepa upelo wasicu nahan wicakasota tatanka tawowakan song lakota long time buffalo nation give survive shelter white come wipe spirit power buffalo tatanka come stand deliver souls brave live forever trail rear tale courage tatanka come tatanka come,126,0.049935226,0.25480603,0.358417659,0.000848897,0.000848896,0.000848896,0.000848896,0.000848896,0.000848896,0.049411368,0.000848896,0.000848897,0.241584864,0.000848896,0.000848896,0.000848896,0.487707137,0.346537446,0.881525985,0.905870445,0.418796373,0.179153543,world/life,0.5
54814,stan getz,everything happens to me,1955,jazz,go everybody cross paths sense meet sound streets like music ears flow beat like music ears hear years think go music gonna live repeat spiritual live miracles heart shin bright indigo invisible naked surprise world overmaximize satisfy come want mind road look window hold memoirs notebook document bar hook know reality appreciate look gotta people believe face smile read envy stay focus weave jealousy bring harm deep root stink eye slip world repeat live hear sirens bass kick guitar riff violins footsteps better place better days spend time plan life sketch away understand believe happen reason easy things control play mind want soul close need space go personal aspect highly experience coldblooded game pain build immunity emotions come opportunities handle business know friends open break defenseless repeat play game mindsets correct respect collect express chest complain bless compromise end meet think sleep week month right street know bounce feet downfall place plug leak shit time stonger piece couldn hunger want remember world poet grind pick grow midst important recipe long alive best repeat sound streets like flow beat like sound streets like flow beat like,185,0.000411184,0.000411184,0.315362884,0.02105003,0.000411184,0.000411184,0.000411184,0.046659329,0.239264209,0.104401077,0.036230627,0.074920403,0.000411184,0.000411184,0.075082171,0.000411184,0.459547276,0.346563085,0.995983932,0.428137652,0.331203627,0.056927504,world/life,0.928571429
57752,al jarreau,(a rhyme) this time,1980,jazz,time time gonna rhyme time ring time dream gonna sing gotta wing time sweets sell time scheme gonna time unfortunately dream know grind mirror remind stories tell time dream gonna bring time guitar solo unfortunately dream know grind mirror remind ring time dream gonna sing gotta wing time time time gonna rhyme time rhyme time gonna time time,58,0.000993049,0.086018156,0.000993049,0.36626558,0.000993049,0.000993049,0.000993049,0.000993049,0.000993049,0.190808179,0.000993049,0.076770119,0.000993049,0.000993049,0.000993049,0.000993049,0.673995451,0.347075866,0.769076073,0.881578947,0.255976917,0.136109156,night/time,0.571428571
59453,mel tormé,you're getting to be a habit with me,1995,jazz,know exactly start start want play realize come tell kiss like drug get habit stay arm addict charm get habit think leave couldn supply need break away regularly coffee clutch free get habit break get habit british sheet music think meet fate begin heart keep repeat diff rent get have away contribute bogle march get habit bros vitaphone production fortysecond street dubin tormé kiss like drug get habit stay arm addict charm get habit think leave couldn supply need break away regularly coffee clutch free get habit break get habit orchestral interlude clutch free like get shuteye need eternally ohhh get habit,102,0.000892061,0.000892061,0.000892061,0.000892061,0.000892061,0.000892061,0.065650983,0.278191361,0.000892061,0.024916082,0.104778288,0.000892061,0.067578431,0.041042526,0.407137599,0.000892061,0.360987761,0.34751173,0.959839317,0.001234818,0.183841715,0.025995607,sadness,0.357142857
4536,harry nilsson,early in the morning,1971,pop,early morning right little fight baby night early morning know early morning early morning blue go girlfriend house knock daddy door begin shout say early morning know early morning early morning blue go dooby somethin waitress look say sure look beat say early morning know early morning early morning blue,50,0.031081833,0.053746921,0.001096491,0.001096491,0.001096491,0.046377686,0.001096491,0.095335169,0.045364317,0.073911972,0.186490714,0.001096491,0.001096491,0.001096491,0.001096491,0.455629985,0.505036283,0.347588647,0.990963846,1.60E-05,0.412613355,0.02639602,feelings,0.7
57377,michael franks,dear little nightengale,1978,jazz,dear little nightingale come cryin forget flyin lonely beggar choosers singers song lovers losers dear little nightingale illusion paradise change pain confusion sensual poetry higher tree dear little nightingale tune rhyme sing madness moonshine distance galaxy glisten know light listen,40,0.002392345,0.002392345,0.148871098,0.002392345,0.002392345,0.141616649,0.195298323,0.002392345,0.002392345,0.348002797,0.002392345,0.132718309,0.002392345,0.002392345,0.002392345,0.002392345,0.538611502,0.348101428,0.85943761,0.004109312,0.145713108,0.143116382,music,0.6
6120,joan armatrading,somebody who loves you,1976,pop,know think stay goodbye blow smoke ceiling wanna look eye somebody love wanna wrap sheet hug inside wanna come stoke blaze cover somebody love somebody love somebody love somebody love cozy corner arm tire night stand leave long misspend passion human despise somebody love gold cafes foretell dark stranger mistake shyness costly goodbye lose somebody love somebody love wanna come stoke blaze cover mistake shyness costly goodbye lose,68,0.001012146,0.216773785,0.001012146,0.001012146,0.001012146,0.001012146,0.302472859,0.04947408,0.001012146,0.001012146,0.001012146,0.066522076,0.001012146,0.001012146,0.078657662,0.159537647,0.430304343,0.348486014,0.858433593,0.00159919,0.502267106,0.167141156,romantic,0.628571429
21237,marty robbins,if i could cry,1962,country,ease achin heart inside tear stay hide deep inside start place heart hurt deep guess pride tear start form time hold warm warm memory near guess tear start form time hold warm warm memory near guess,36,0.001547988,0.001547988,0.001547988,0.001547988,0.001547988,0.001547988,0.177699179,0.001547988,0.001547988,0.001547988,0.001547988,0.001547988,0.001547988,0.001547988,0.795985031,0.001547988,0.385898408,0.348716765,0.950803163,0.001740891,0.207543281,0.031100871,sadness,0.828571429
23672,leon russell,a song for you,1970,country,place life time sing songs rhyme act stag thousand people watch sing song know image treat unkindly darling important darling cause sing song teach precious secrets truth withhold come hide better word come listen cause hide place space time life friend life remember sing song place space time life friend life remember sing song sing song sing song sing song,60,0.000993049,0.000993049,0.419532956,0.000993049,0.000993049,0.000993049,0.042172124,0.126364279,0.000993049,0.397034911,0.000993049,0.000993049,0.000993049,0.000993049,0.000993049,0.000993049,0.453048847,0.350024357,0.976907607,2.70E-06,0.186933223,0.087158678,world/life,0.714285714
22164,bert jansch,needle of death,1965,country,sadness fill heart sorrow hide long free things wrong mind escape misery trouble young life turn needle death strange word cease bring smile tear fill eye friends walk trouble young life turn needle death grain pure white snow dissolve blood spread quickly brain peace mind withdraw death near soul feel pain trouble young life turn needle death mother stand cryin earth body slowly cast father stand silence caress young dream past trouble young life turn needle death age desire free mind release soul prove live death freedom evermore trouble young life turn needle death,94,0.000683527,0.33636295,0.183396695,0.032162116,0.000683527,0.000683527,0.000683527,0.000683527,0.000683527,0.000683527,0.000683527,0.082777773,0.272456799,0.000683527,0.083957816,0.000683527,0.483374851,0.350306387,0.957831283,0.003431174,0.179719703,0.080752072,violence,0.785714286
26701,chris ledoux,bars shouldn't have mirrors,1980,country,boot buckle jukebox bottle rodeo cowboy draw dream tomorrow winnin till look mirror hang wall weather face like leather age scar soul mirror hide drink disguise rodeo cowboy gettin bar shouldn mirror want real thing bar shouldn mirror cowboy lookin tell stories live past glory whisky winner drink raise face cause bottle mirror hold hand bar shouldn mirror,58,0.001385042,0.433333312,0.123912024,0.001385042,0.001385042,0.001385042,0.001385042,0.001385042,0.151496921,0.001385042,0.240730946,0.001385042,0.001385042,0.001385042,0.001385042,0.001385042,0.557023719,0.350690972,0.689758725,0.014676113,0.544517725,0.102074059,violence,0.571428571
3888,bob dylan,"lay, lady, lay",1969,pop,lady brass lady brass color mind shine lady brass stay lady stay stay awhile lyric commercial,16,0.32261009,0.004048583,0.004048583,0.300556818,0.004048583,0.004048583,0.004048583,0.004048583,0.004048583,0.004048583,0.004048583,0.157894737,0.004048583,0.004048583,0.004048583,0.004048583,0.49637171,0.35076789,0.357429074,0.003481781,0.395094806,0.179153543,night/time,0.728571429
59768,the ink spots,i'll never smile again,1998,jazz,smile smile laugh good tear eye heart realize romance thrill somebody heart know start smile smile smile darling smile laugh good tear eye heart realize romance child thrill somebody heart know start smile smile,34,0.001503759,0.001503759,0.001503759,0.001503759,0.001503759,0.001503759,0.225746725,0.00150376,0.001503759,0.001503759,0.001503759,0.001503759,0.00150376,0.00150376,0.630963591,0.119229532,0.193111665,0.350973002,0.976907607,0.006336032,0.221970322,0.039109129,sadness,0.314285714
59705,paul desmond,samba cepeda,1997,jazz,long long girl rapper step wanna work body body work body body work body body work body body change position yeah change position yeah position want position girl twerk yeah twerk come twerk twerk come little closer baby girl wanna feel body right life party wanna know movin wanna wanna stop music girl little girl doin girl lookin sexy doin dance goin know doin girl lookin sexy doin dance baby know gotta sexy touchin baby ecstasy lady hand think understand doin repeat repeat cutey beauty tell say enjoy say come work dirty lover come room havin private party go strip young lovely shoot dream lovely shoot savor lovely goodby shoulda go pity girl neck know hard like instead telephone spark pour soften repeat repeat repeat,125,0.097752628,0.000526316,0.023043936,0.000526316,0.033101905,0.094124001,0.056968905,0.088615804,0.329229283,0.000526316,0.000526316,0.000526316,0.000526316,0.162226212,0.000526316,0.022047198,0.457381133,0.351331949,0.939758976,0.87854251,0.390972795,0.190164898,obscene,0.328571429
26972,chris ledoux,so you want to be a cowboy,1981,country,wanna cowboy wanna rodeo nothin hold pack stuff travel highways gonna good time gonna fall hard liquor leave pills dull sense leave weak stone wanna winner better play straight open gate easy goin rodeo trail fail mighty gotta gold buckle waitin line woman better know cause take special lady follow hell stand dime treasure easy,55,0.001196172,0.139688132,0.001196172,0.001196172,0.001196172,0.001196172,0.04454415,0.001196172,0.321693562,0.001196172,0.21641751,0.001196172,0.001196172,0.001196172,0.060959517,0.001196172,0.61226037,0.351408866,0.485943259,0.000245951,0.912407255,0.298276383,obscene,0.557142857
59797,nat king cole,penthouse serenade (when we're alone),1998,jazz,picture penthouse hinge chimneys star sweet slice heaven society stay aloof live propriety roof heavenly hermits truth view life pattern view manhattan thank star live little penthouse contrive romance forever alive view drive,33,0.002631579,0.002631579,0.538103282,0.002631579,0.002631579,0.054147029,0.08085506,0.002631579,0.002631579,0.002631579,0.077592565,0.212459958,0.002631579,0.002631579,0.002631579,0.002631579,0.420556699,0.351485783,0.978915641,0.928137652,0.306471558,0.086558059,world/life,0.314285714
23180,jerry jeff walker,little bird,1968,country,little come window sill fallin rain watch little window sill thoughts picture face reflect pane tear rain remember talk say goodbye young notice world outside door time build wall tear say take shape form boundaries grip hold time foolish hand pain heart look eye grow cold picture face reflect pane tear rain regret past change life road walk look recall frame time world time think things ways course life pick road life walk give memories like handnotes world time think picture face reflect pane tear rain thoughts tumblin wonder look wonder see little wonder window sill wonder hear word picture face reflect pane tear rain,105,0.000634115,0.000634115,0.325688055,0.000634115,0.000634115,0.03450339,0.022518696,0.057353979,0.000634115,0.000634115,0.17479692,0.000634115,0.000634115,0.000634115,0.317410567,0.000634115,0.499620925,0.351716535,0.765060005,0.003431174,0.528029678,0.08565713,world/life,0.742857143
26202,dan fogelberg,the last to know,1979,country,live house card pray wind blow hard give differences strain appearances make believe thread save ache leave deathly afraid let thread entangle jealousies legal fee run away like refugees shadow eye alibi tell late victimize freedom near elude try change dream need allow easy know fall better days try damndest laugh throw childish dream away know fall better days try damndest laugh throw childish dream away know know,68,0.001052632,0.001052632,0.252922345,0.001052632,0.001052632,0.001052632,0.001052632,0.22512775,0.001052632,0.001052632,0.042428907,0.074703932,0.043572751,0.001052632,0.347560104,0.001052632,0.607928084,0.351972925,0.428714286,6.44E-06,0.569249794,0.246222705,sadness,0.585714286
29160,nanci griffith,roseville fair,1988,country,night clear star shinin moon come quiet people gather round band atunin hear playin come dress blue look lovely gentle small girl take hand dance music single smile world dance niight fiddle banjo drift tune long remember fell roseville fair court court dearly hours porch chair year go time roseville fair song lovers tune share dance night fiddle banjo roseville fair roseville fair,63,0.001144165,0.001144165,0.001144165,0.046153899,0.001144165,0.001144165,0.001144165,0.001144165,0.001144165,0.34217447,0.089258204,0.41842947,0.026228091,0.062881724,0.001144165,0.001144165,0.344741687,0.352024203,0.709839066,2.48E-06,0.814509481,0.19116593,music,0.457142857
54745,cal tjader,my one and only love,1955,jazz,yeah check want like want things yeah want want tell eye truth lie time produce tribe right right yeah right right like favorite song felt vibe like ayers kill vibes like catch relaxin tjader right bring heat like braxton homie ask music feel like hypnotical hump thump kick wish time things want say cool number check fall doubt crawl remember feel start count aone ready bounce comin realest state like buyin house style cake caseloads pocket swole canseco like naked crowd grabbin leave need guard play push forward center game play care movin like stairs pair gun shootin flare rescue things stress groove guess want check want trust different department store thousand dollar cars bar like want fall like fell heaven arm guess little extras charge card disconnect wanna brawl broads forget city spend money dinners countries know hubbies home laugh phone goin cause go song write know reason cause want want want want want,155,0.000469925,0.018874781,0.000469925,0.023550753,0.036439476,0.011338229,0.000469925,0.192607033,0.377471556,0.069132638,0.000469925,0.013651195,0.000469925,0.058035625,0.070984856,0.000469925,0.520199285,0.352639541,0.988955812,0.922064777,0.382728772,0.05432482,obscene,0.928571429
59052,chick corea,even for me,1992,jazz,reason exist star primordial mist aby generate genesis endless kiss gods lips galaxy stimulate universal energy magically sexually life spread rapidly vasectomy decimate legacy futile write life child music sound nubile probably procreate style spermatazoa devote search biological ocean controllin ovum omega flow go extra milelage cause violence seclusion refuge choosin best loop avoid coupes toy techs tool infect school systems paint rhythms like picasso usin cubism prisms eyesight explore life evehad connect rhyme mind like amoeba follow leader follow procedures secrete seed leave screamin fiendin beneath deeper ways amaze methods pay wreck afraid bless cause slay protect stage nekkid create check capacity crowd sorta orgy brothers approach kind grab wasn horny like challenge start alter definition talent knock like gallant switch position lovin tradition yeah baddest best affectionate romance bodily kiss sexin slow dance meal like gentleman treat like lady hold door mental medicine pencillin villian infect metaphysics syphillus cynical critics script fuckin right masturbate touchin bust slide style permission stickin stay rape plus spit face talkin shit place like youse addict base upliftment passe rapmade sing like usspay stink like ashtray microphone better watch everybody catch aid days careful shit,192,0.038750771,0.000683527,0.174504679,0.000683527,0.018677277,0.000683527,0.05331217,0.000683527,0.45132457,0.043561816,0.000683527,0.100422126,0.014499977,0.098111344,0.000683527,0.000683527,0.427055128,0.3532036,0.911646498,0.326923077,0.446619951,0.270247479,obscene,0.4
58631,"harry connick, jr.",do nothin' till you hear from me,1988,jazz,nothin till hear attention say tear seam dream head nothin till hear consider romance word hear baby true see mean untrue apart word heart reveal feel kiss cloud memory arm hold thrill nothin till hear baby,36,0.075565872,0.001644737,0.001644737,0.001644737,0.001644737,0.001644737,0.345408619,0.001644737,0.14575776,0.174609514,0.001644737,0.052975771,0.001644737,0.001644737,0.184300884,0.001644737,0.695656883,0.353357434,0.93473889,0.004504049,0.322959604,0.079050317,romantic,0.457142857
29719,lyle lovett,good intentions,1989,country,california shin right home days great ideas fall fall greatest fall make good reflection massive rationalization contemplate future future past wonder forgive darling trouble forget question ask forgive temporary weight gain excess water retention forgive rest fact life care mention wasn good good intentions grass grow shin face glow woman foolaround true sooner fool fool fool forgive unadulterated adulterate apprehension forgive rest fact life care mention wasn good good intentions twentysix rise young live guess process learn excess things know forgive tmeanathingtome attempt abstention forgive rest fact life ones care mention wasn good good intentions,95,0.000785546,0.000785546,0.392351572,0.000785546,0.000785546,0.000785546,0.033852757,0.221176691,0.000785546,0.000785546,0.029271091,0.097135038,0.051160926,0.000785546,0.060182642,0.106228278,0.663164735,0.354075328,0.647590008,8.58E-06,0.494023083,0.10707922,world/life,0.442857143
55209,dean martin,dream a little dream,1959,jazz,star shinin bright night breeze whisper singin sycamore tree dream little dream nightie night kiss hold tight tell miss blue dream little dream star fade linger dear crave kiss longin linger dear sayin sweet dream sunbeams sweet dream leave worry dream dream little dream,44,0.001461988,0.001461988,0.001461988,0.001461988,0.001461988,0.118978101,0.436634819,0.001461988,0.033171671,0.038356109,0.001461988,0.352391462,0.001461988,0.001461988,0.001461988,0.001461988,0.058810787,0.354434274,0.906626412,0.550607287,0.160140148,0.113085414,romantic,0.871428571
55103,anita o'day,whisper not,1958,jazz,sing sing clear sweet word whisper despair prayer sing bring thrill sentimental tune die soon lose forgive forget whisper quarrel past know constantly whisper eternally listen say wouldn gossip voice break know forget answer cupid truth whisper trouble echo past lose gloom whisper rumour,44,0.001547988,0.001547988,0.210563621,0.001547988,0.001547988,0.001547988,0.124587003,0.216559224,0.001547988,0.366108012,0.001547988,0.001547988,0.001547988,0.001547988,0.060510311,0.001547988,0.630672587,0.354998333,0.772088125,0,0.506389118,0.149122575,music,0.885714286
22023,marty robbins,turn the lights down low,1965,country,turn light feelins time dream come driftin turn hifi play certain song bring memories things keep closer heart safe lips apart wouldn hide teardrops deep inside dream light turn dream light turn light turn,34,0.001754386,0.001754386,0.001754386,0.001754386,0.001754386,0.001754386,0.044121918,0.001754386,0.001754386,0.091637806,0.001754386,0.486225941,0.001754386,0.001754386,0.351698543,0.001754386,0.350157045,0.355023973,0.98293171,0.09402834,0.071104699,0.032902729,sadness,0.785714286
